Age,Gender,Marital,Race_Status,Birth_Place,Language,Occupation,Income_(K)
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[4, 5)",415
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[4, 5)",422
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[4, 5)",402
"[16, 18)","[1, 3)","[6, 7)","[1, 2)","[1, 3)","[2, 49)","[3, 5)",582
"[16, 18)","[1, 3)","[6, 7)","[1, 2)","[1, 3)","[2, 49)","[3, 5)",406
"[16, 18)","[1, 3)","[6, 7)","[1, 2)","[1, 3)","[2, 49)","[3, 5)",992
"[16, 18)","[1, 3)","[6, 7)","[1, 2)","[1, 3)","[2, 49)","[3, 5)",476
"[16, 18)","[1, 3)","[6, 7)","[1, 2)","[1, 3)","[2, 49)","[3, 5)",476
"[16, 18)","[1, 3)","[6, 7)","[1, 2)","[1, 3)","[2, 49)","[3, 5)",414
"[16, 18)","[1, 3)","[6, 7)","[1, 2)","[1, 3)","[2, 49)","[3, 5)",570
"[16, 18)","[1, 3)","[6, 7)","[1, 2)","[1, 3)","[2, 49)","[3, 5)",535
"[16, 18)","[1, 3)","[6, 7)","[1, 2)","[1, 3)","[2, 49)","[3, 5)",992
"[16, 18)","[1, 3)","[6, 7)","[1, 2)","[1, 3)","[2, 49)","[3, 5)",402
"[16, 18)","[1, 3)","[6, 7)","[1, 2)","[1, 3)","[2, 49)","[3, 5)",962
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",814
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",524
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",474
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",402
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",495
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",402
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",992
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",406
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",822
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",961
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",413
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",472
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",962
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",422
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",626
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",425
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",472
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",992
"[16, 18)","[1, 2)","[6, 7)","[1, 2)","[4, 5)","[1, 13)","[2, 5)",992
"[16, 18)","[2, 3)","[6, 7)","[1, 2)","[4, 5)","[1, 2)","[3, 5)",234
"[16, 18)","[2, 3)","[6, 7)","[1, 2)","[4, 5)","[1, 2)","[3, 5)",476
"[16, 18)","[2, 3)","[6, 7)","[1, 2)","[4, 5)","[1, 2)","[3, 5)",962
"[16, 18)","[2, 3)","[6, 7)","[1, 2)","[4, 5)","[1, 2)","[3, 5)",472
"[16, 18)","[2, 3)","[6, 7)","[1, 2)","[4, 5)","[1, 2)","[3, 5)",472
"[16, 18)","[2, 3)","[6, 7)","[1, 2)","[4, 5)","[1, 2)","[3, 5)",474
"[16, 18)","[2, 3)","[6, 7)","[1, 2)","[4, 5)","[1, 2)","[3, 5)",540
"[16, 18)","[2, 3)","[6, 7)","[1, 2)","[4, 5)","[1, 2)","[3, 5)",962
"[16, 18)","[2, 3)","[6, 7)","[1, 2)","[4, 5)","[1, 2)","[3, 5)",992
"[16, 18)","[2, 3)","[6, 7)","[1, 2)","[4, 5)","[1, 2)","[3, 5)",422
"[16, 18)","[2, 3)","[6, 7)","[1, 2)","[4, 5)","[1, 2)","[3, 5)",422
"[16, 18)","[2, 3)","[6, 7)","[1, 2)","[4, 5)","[1, 2)","[3, 5)",415
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",582
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",411
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",992
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",402
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",586
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",494
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",472
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",402
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",425
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",992
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",476
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",992
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",551
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",275
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",846
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",992
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",892
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",451
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",411
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",992
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",962
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",551
"[16, 18)","[1, 3)","[6, 7)","[2, 3)","[1, 2)","[1, 2)","[2, 5)",562
"[16, 17)","[1, 2)","[6, 7)","[3, 4)","[2, 5)","[1, 2)","[2, 5)",472
"[16, 17)","[1, 2)","[6, 7)","[3, 4)","[2, 5)","[1, 2)","[2, 5)",402
"[16, 17)","[1, 2)","[6, 7)","[3, 4)","[2, 5)","[1, 2)","[2, 5)",280
"[16, 17)","[1, 2)","[6, 7)","[3, 4)","[2, 5)","[1, 2)","[2, 5)",100
"[16, 17)","[1, 2)","[6, 7)","[3, 4)","[2, 5)","[1, 2)","[2, 5)",402
"[16, 17)","[1, 2)","[6, 7)","[3, 4)","[2, 5)","[1, 2)","[2, 5)",413
"[17, 18)","[1, 2)","[6, 7)","[3, 4)","[2, 3)","[1, 2)","[4, 5)",720
"[17, 18)","[1, 2)","[6, 7)","[3, 4)","[2, 3)","[1, 2)","[4, 5)",962
"[17, 18)","[1, 2)","[6, 7)","[3, 4)","[2, 3)","[1, 2)","[4, 5)",826
"[17, 18)","[1, 2)","[6, 7)","[3, 4)","[2, 3)","[1, 2)","[4, 5)",402
"[16, 18)","[2, 3)","[6, 7)","[2, 4)","[2, 3)","[1, 2)","[2, 5)",405
"[16, 18)","[2, 3)","[6, 7)","[2, 4)","[2, 3)","[1, 2)","[2, 5)",476
"[16, 18)","[2, 3)","[6, 7)","[2, 4)","[2, 3)","[1, 2)","[2, 5)",472
"[16, 18)","[2, 3)","[6, 7)","[2, 4)","[2, 3)","[1, 2)","[2, 5)",586
"[16, 18)","[2, 3)","[6, 7)","[2, 4)","[2, 3)","[1, 2)","[2, 5)",476
"[16, 18)","[1, 3)","[6, 7)","[3, 4)","[2, 5)","[12, 95)","[2, 5)",435
"[16, 18)","[1, 3)","[6, 7)","[3, 4)","[2, 5)","[12, 95)","[2, 5)",406
"[16, 18)","[1, 3)","[6, 7)","[3, 4)","[2, 5)","[12, 95)","[2, 5)",972
"[16, 18)","[1, 3)","[6, 7)","[3, 4)","[2, 5)","[12, 95)","[2, 5)",422
"[16, 18)","[1, 3)","[6, 7)","[3, 4)","[2, 5)","[12, 95)","[2, 5)",360
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",402
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",992
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",425
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",610
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",472
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",485
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",403
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",781
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",495
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",403
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",460
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",495
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",524
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",425
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",626
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",962
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",586
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",214
"[16, 18)","[1, 3)","[6, 7)","[6, 9)","[1, 3)","[1, 72)","[2, 5)",422
"[16, 17)","[1, 2)","[6, 7)","[4, 9)","[4, 5)","[1, 2)","[3, 5)",962
